0.02	-0.00276756 2.47011e-06	0.472376 0.00126681
0.04	-0.00367882 1.91308e-06	0.403227 0.000469168
0.06	-0.00376759 2.04436e-06	0.352182 0.000177208
0.08	-0.00345573 2.05059e-06	0.311718 6.94968e-05
0.1	-0.00284968 2.09231e-06	0.293181 4.16789e-05
0.12	-0.001997 2.2013e-06	0.298179 5.47572e-05
0.13	-0.0014896 2.27548e-06	0.309847 7.81283e-05
0.14	-0.000923586 2.40207e-06	0.327404 0.000117952
0.15	-0.000315062 2.53508e-06	0.350661 0.000174725
0.16	0.000339494 2.63336e-06	0.379524 0.000257965
0.17	0.00103639 2.6779e-06	0.413103 0.000358129
0.18	0.00176792 2.84384e-06	0.451542 0.000485703
0.19	0.00252748 2.94833e-06	0.494395 0.000638064
0.20	0.00332005 3.95183e-06	0.541268 0.00102851
