density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
1	0.05	121	0.00205474	6.97996e-05	0.331743	0.0131355
1	0.05	122	0.00206229	6.96347e-05	0.331647	0.0130826
1	0.05	123	0.00207119	6.96354e-05	0.331667	0.013058
1	0.05	124	0.00206228	6.96427e-05	0.331051	0.0130599
1	0.05	125	0.00205772	6.92343e-05	0.331289	0.0129554
1	0.05	126	0.00205487	6.87436e-05	0.330981	0.0128652
1	0.05	127	0.00204207	6.93832e-05	0.330745	0.0128869
1	0.05	128	0.0020384	6.8938e-05	0.331107	0.0127852
1	0.05	129	0.00202722	6.93044e-05	0.330717	0.0127991
1	0.05	130	0.00203087	6.88673e-05	0.330894	0.012726
1	0.05	131	0.00202984	6.83493e-05	0.330573	0.0126364
1	0.05	132	0.00202634	6.79211e-05	0.330236	0.0125589
1	0.05	133	0.00201577	6.82278e-05	0.32995	0.0125553
1	0.05	134	0.00200673	6.83155e-05	0.329905	0.0125063
1	0.05	135	0.0020065	6.78098e-05	0.330031	0.0124139
1	0.05	136	0.00201014	6.74085e-05	0.329987	0.0123395
1	0.05	137	0.00200424	6.71744e-05	0.329847	0.012271
1	0.05	138	0.00200409	6.66877e-05	0.329632	0.012185
1	0.05	139	0.00199985	6.63428e-05	0.329164	0.0121326
1	0.05	140	0.00200065	6.58738e-05	0.329835	0.0120815
1	0.05	141	0.00199831	6.54483e-05	0.329792	0.011996
1	0.05	142	0.0019956	6.50434e-05	0.329914	0.0119096
1	0.05	143	0.00199129	6.47313e-05	0.329991	0.0118293
1	0.05	144	0.00199687	6.4522e-05	0.330505	0.0118253
1	0.05	145	0.00199171	6.42831e-05	0.330773	0.0117466
1	0.05	146	0.001998	6.415e-05	0.330525	0.0117012
1	0.05	147	0.00200058	6.37655e-05	0.330475	0.0116314
1	0.05	148	0.00199378	6.36962e-05	0.33045	0.011577
1	0.05	149	0.00200179	6.37707e-05	0.330749	0.0115944
1	0.05	150	0.0020019	6.33457e-05	0.330633	0.0115181
