density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
0.01	0.012	76	-0.000673361	5.66219e-05	0.0642934	0.00354458
0.01	0.012	77	-0.000669467	5.60203e-05	0.0648713	0.00352794
0.01	0.012	78	-0.000657395	5.65879e-05	0.0658227	0.00352652
0.01	0.012	79	-0.000649948	5.63595e-05	0.066602	0.00352543
0.01	0.012	80	-0.000656219	5.60027e-05	0.0658326	0.00350494
0.01	0.012	81	-0.000653855	5.53612e-05	0.0661104	0.00347036
0.01	0.012	82	-0.000655666	5.47157e-05	0.0657636	0.00343433
0.01	0.012	83	-0.000661221	5.43377e-05	0.0650127	0.00342001
0.01	0.012	84	-0.000648953	5.50583e-05	0.0665176	0.00353647
0.01	0.012	85	-0.000647904	5.44205e-05	0.0666345	0.00349747
0.01	0.012	86	-0.000652733	5.40015e-05	0.0661783	0.00345711
0.01	0.012	87	-0.000658066	5.36435e-05	0.0654577	0.00344203
0.01	0.012	88	-0.000664637	5.34348e-05	0.0649208	0.00339965
0.01	0.012	89	-0.000663536	5.28457e-05	0.0651404	0.0033673
0.01	0.012	90	-0.00066036	5.23539e-05	0.0653718	0.00333619
0.01	0.012	91	-0.000653188	5.22676e-05	0.0661438	0.0033437
0.01	0.012	92	-0.000651628	5.17228e-05	0.0665275	0.00332324
0.01	0.012	93	-0.000643295	5.18335e-05	0.0673159	0.00332945
0.01	0.012	94	-0.000647023	5.1416e-05	0.0670015	0.0032912
0.01	0.012	95	-0.000643466	5.09976e-05	0.067179	0.00326109
0.01	0.012	96	-0.000646343	5.05475e-05	0.0669449	0.00322411
0.01	0.012	97	-0.000650444	5.01924e-05	0.0664194	0.00320292
0.01	0.012	98	-0.0006469	4.98052e-05	0.0666623	0.00317665
0.01	0.012	99	-0.000650521	4.94336e-05	0.066171	0.00315614
0.01	0.012	100	-0.000648697	4.89728e-05	0.0665347	0.00313931
0.01	0.014	1	-0.000557216	0	0.0623487	0
0.01	0.014	2	-0.000469046	6.23455e-05	0.0776647	0.00882352
0.01	0.014	3	-0.000610941	0.000123086	0.0649097	0.00814198
0.01	0.014	4	-0.000655193	9.99536e-05	0.0596586	0.00664932
0.01	0.014	5	-0.000609913	8.96342e-05	0.0666458	0.00708421
0.01	0.014	6	-0.000635767	7.83351e-05	0.063793	0.00606292
0.01	0.014	7	-0.000660983	7.10872e-05	0.062786	0.00507032
0.01	0.014	8	-0.000718261	8.20951e-05	0.0579276	0.00474365
0.01	0.014	9	-0.000677839	8.23257e-05	0.0634952	0.00554537
0.01	0.014	10	-0.000730766	8.95041e-05	0.0584349	0.00542687
0.01	0.014	11	-0.000733203	8.14005e-05	0.0588173	0.00493905
0.01	0.014	12	-0.000745839	7.55916e-05	0.057682	0.00452241
0.01	0.014	13	-0.000754422	7.02624e-05	0.0566502	0.00419555
0.01	0.014	14	-0.000774542	6.80636e-05	0.0550424	0.00388302
0.01	0.014	15	-0.000790089	6.52775e-05	0.0533563	0.00369217
0.01	0.014	16	-0.00080185	6.2248e-05	0.0520395	0.00350413
0.01	0.014	17	-0.000787041	6.0322e-05	0.0532861	0.00335328
0.01	0.014	18	-0.000783836	5.70559e-05	0.0530196	0.00318318
0.01	0.014	19	-0.000803214	5.72489e-05	0.0514891	0.00300914
0.01	0.014	20	-0.0007492	7.56931e-05	0.0570035	0.00403177
0.01	0.014	21	-0.000771949	7.54297e-05	0.05469	0.00395476
0.01	0.014	22	-0.000744167	7.69476e-05	0.0570321	0.00394802
0.01	0.014	23	-0.000760266	7.52673e-05	0.0555935	0.00378846
0.01	0.014	24	-0.000740828	7.45987e-05	0.0575874	0.00381587
0.01	0.014	25	-0.000752092	7.24601e-05	0.0567016	0.00364896
0.01	0.014	26	-0.000753119	6.96805e-05	0.0578385	0.00362892
0.01	0.014	27	-0.000716618	7.60612e-05	0.0629479	0.00482911
0.01	0.014	28	-0.000705539	7.41472e-05	0.0638406	0.00469508
0.01	0.014	29	-0.000682123	7.5197e-05	0.0657325	0.00465005
