0.1	0.001408 2.40673e-05	0.140662 0.00241506
0.2	0.181099 0.000237197	3.94897 0.008712
0.3	0.636966 0.000296775	4.35066 0.00950256
0.4	1.00748 0.000278418	3.12266 0.00765835
0.5	1.2784 0.0002774	2.37481 0.00631241
0.6	1.49179 0.000284807	1.93532 0.00531369
0.7	1.66981 0.000305734	1.64579 0.00472064
0.8	1.82386 0.00032143	1.43829 0.00417447
0.9	1.95987 0.000337472	1.27357 0.00371781
1.0	2.07862 0.000352535	1.13544 0.00332927
1.1	2.18689 0.000369233	1.02213 0.00302841
1.2	2.28448 0.000381995	0.923656 0.00274868
1.3	2.37362 0.000390389	0.837715 0.00247245
1.4	2.45214 0.00040358	0.761896 0.00226958
1.5	2.5255 0.000411234	0.696101 0.00206437
1.6	2.59193 0.000419923	0.637986 0.00190115
1.7	2.65347 0.000424212	0.586514 0.00174333
1.8	2.70912 0.000432624	0.5399 0.00161368
1.9	2.76135 0.000437574	0.498806 0.00149044
2.0	2.80981 0.000439915	0.462423 0.00137387
