0.1	1.34618 5.76054e-05	20.1667 1.98916
0.2	1.56073 6.82319e-05	10.9392 0.682491
0.3	1.81562 6.45091e-05	7.70121 0.333638
0.4	2.01678 6.42305e-05	5.54166 0.207518
0.5	2.17432 6.51137e-05	4.17782 0.145291
0.6	2.30355 6.67461e-05	3.30573 0.109586
0.7	2.41407 7.0115e-05	2.70671 0.0886563
0.8	2.51052 7.26068e-05	2.27353 0.0730794
0.9	2.59613 7.37144e-05	1.94825 0.06063
1.0	2.67298 7.64046e-05	1.69028 0.0523841
1.1	2.7422 7.88939e-05	1.48739 0.0458902
1.2	2.80485 8.08771e-05	1.32173 0.0404185
1.3	2.86207 8.42968e-05	1.18152 0.0366179
1.4	2.91424 8.28564e-05	1.06316 0.0316053
1.5	2.96206 8.63852e-05	0.962342 0.0291995
1.6	3.00604 8.61683e-05	0.876879 0.0259629
1.7	3.04657 8.8771e-05	0.801511 0.0240236
1.8	3.08383 8.91952e-05	0.735386 0.021804
1.9	3.11879 8.86893e-05	0.677214 0.0196701
2.0	3.15082 9.08494e-05	0.625689 0.0183614
