0.1	0.001412	0.0141001
0.15	0.038035	0.246362
0.2	0.182026	0.794993
0.25	0.406277	1.19034
0.3	0.637784	1.30799
0.35	0.83693	1.28861
0.4	1.00809	1.25107
0.45	1.15208	1.21328
0.5	1.27863	1.18406
0.55	1.39161	1.17147
0.6	1.49277	1.1609
0.65	1.58308	1.15468
0.7	1.66978	1.1532
0.75	1.74991	1.15288
0.8	1.82381	1.15061
0.85	1.89389	1.1514
0.9	1.9606	1.14658
0.95	2.02088	1.14343
1	2.08012	1.1349
1.05	2.13434	1.13052
1.1	2.1863	1.12292
1.15	2.23974	1.11926
1.2	2.2841	1.10818
1.25	2.32983	1.09922
1.3	2.37089	1.0877
1.35	2.41254	1.08131
1.4	2.45205	1.06449
1.45	2.48978	1.05472
1.5	2.52562	1.04465
1.55	2.56069	1.03155
1.6	2.59456	1.02183
1.65	2.62271	1.008
1.7	2.65193	0.996974
1.75	2.68168	0.984045
1.8	2.70726	0.97188
1.85	2.73638	0.960325
1.9	2.75826	0.947553
1.95	2.78676	0.934898
2	2.80841	0.924673
2.05	2.83291	0.913092
2.1	2.85431	0.902421
2.15	2.87722	0.890471
2.2	2.89443	0.8761
2.25	2.91479	0.870789
2.3	2.93604	0.858955
2.35	2.95167	0.846753
2.4	2.96968	0.835321
2.45	2.98659	0.824663
2.5	3.00361	0.817847
2.55	3.01981	0.80719
2.6	3.03725	0.797122
2.65	3.0506	0.787472
2.7	3.06445	0.777904
2.75	3.07822	0.770356
2.8	3.09478	0.76154
2.85	3.10719	0.751687
2.9	3.11811	0.742543
2.95	3.13239	0.73456
3	3.14435	0.725074
