0.02	-0.00378506 8.80735e-06	0.166618 0.000841408
0.04	-0.00710025 7.61668e-06	0.127546 0.000328216
0.06	-0.00991612 6.4872e-06	0.0921907 0.000166177
0.08	-0.0121979 5.15723e-06	0.0619353 8.79865e-05
0.1	-0.0139562 3.87714e-06	0.0379636 4.92133e-05
0.12	-0.0151848 2.69115e-06	0.0206013 2.8029e-05
0.13	-0.0156104 2.1324e-06	0.0145779 2.23264e-05
0.14	-0.0159133 1.67911e-06	0.0101524 1.80123e-05
0.15	-0.0160989 1.30043e-06	0.00742541 1.422e-05
0.16	-0.0161716 1.14793e-06	0.00633852 1.04351e-05
0.17	-0.0161351 1.26114e-06	0.00673108 5.59831e-06
0.18	-0.0159966 1.56716e-06	0.00865196 1.03019e-06
0.19	-0.0157605 1.99861e-06	0.0119506 -3.0207e-06
0.20	-0.0154304 2.45676e-06	0.0165342 -5.85182e-06
