0.1	1.29422 6.22517e-05	18.6782 0.874508
0.2	1.51662 7.14699e-05	10.5323 0.293752
0.3	1.7781 6.9605e-05	7.46631 0.149047
0.4	1.98386 6.72513e-05	5.36181 0.090395
0.5	2.14457 6.93337e-05	4.04281 0.0645303
0.6	2.27652 7.22519e-05	3.18566 0.0495989
0.7	2.3891 7.4492e-05	2.6005 0.0394248
0.8	2.48764 7.63796e-05	2.18132 0.0322373
0.9	2.5748 7.93558e-05	1.86226 0.0273811
1.0	2.65292 8.16976e-05	1.61337 0.023534
1.1	2.72353 8.32942e-05	1.41707 0.0203594
1.2	2.78737 8.49699e-05	1.25497 0.0178619
1.3	2.84535 8.7386e-05	1.11893 0.0159681
1.4	2.89844 8.87041e-05	1.00674 0.0142424
1.5	2.94699 9.05267e-05	0.909063 0.0128772
1.6	2.99171 9.14911e-05	0.826177 0.0116127
1.7	3.03289 9.33307e-05	0.75505 0.010637
1.8	3.07104 9.40243e-05	0.692307 0.0096742
1.9	3.10641 9.64974e-05	0.636482 0.0090165
2.0	3.13914 0.000171186	0.587545 0.0146049
