density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
1	0.012	80	-0.000821623	9.13322e-06	0.0631931	0.00200546
1	0.012	81	-0.000822551	9.06744e-06	0.0634108	0.00199219
1	0.012	82	-0.000821494	9.01827e-06	0.0636339	0.00197501
1	0.012	83	-0.000822131	8.9321e-06	0.0635619	0.00195111
1	0.012	84	-0.000820408	8.99038e-06	0.0631977	0.00196206
1	0.012	85	-0.000820791	8.89279e-06	0.0633204	0.00194265
1	0.012	86	-0.0008216	8.82607e-06	0.0632243	0.00192011
1	0.012	87	-0.000821361	8.72785e-06	0.0633813	0.00190327
1	0.012	88	-0.000821855	8.64264e-06	0.0635127	0.00188602
1	0.012	89	-0.000820522	8.64764e-06	0.0635215	0.00186263
1	0.012	90	-0.000819854	8.57734e-06	0.0633575	0.00184932
1	0.012	91	-0.000819784	8.48337e-06	0.0631941	0.00183557
1	0.012	92	-0.000818974	8.42972e-06	0.0633577	0.00181967
1	0.012	93	-0.000818722	8.34284e-06	0.0635262	0.00180645
1	0.012	94	-0.00081945	8.28576e-06	0.0634423	0.00178721
1	0.012	95	-0.000820121	8.2257e-06	0.0635708	0.00177282
1	0.012	96	-0.000821214	8.21225e-06	0.0637297	0.00176099
1	0.012	97	-0.000820304	8.17781e-06	0.0633073	0.00179148
1	0.012	98	-0.000819894	8.10462e-06	0.0631582	0.0017794
1	0.012	99	-0.000820274	8.03163e-06	0.0631547	0.0017611
1	0.012	100	-0.000819313	8.0086e-06	0.0630491	0.00174656
1	0.014	1	-0.000843339	0	0.074648	0
1	0.014	2	-0.000841383	1.38299e-06	0.0691202	0.00390873
1	0.014	3	-0.000833708	6.33418e-06	0.0586566	0.00893101
1	0.014	4	-0.000823506	1.00314e-05	0.0584509	0.00657013
1	0.014	5	-0.000838093	1.53169e-05	0.0554421	0.00552974
1	0.014	6	-0.000840491	1.29506e-05	0.0504328	0.00634791
1	0.014	7	-0.00083359	1.28081e-05	0.0517651	0.00549354
1	0.014	8	-0.000841037	1.31958e-05	0.0523929	0.00480821
1	0.014	9	-0.000846029	1.26386e-05	0.0519154	0.00425798
1	0.014	10	-0.000850561	1.21601e-05	0.0511129	0.00385797
1	0.014	11	-0.00085194	1.11325e-05	0.0509067	0.00350792
1	0.014	12	-0.000860164	1.28897e-05	0.0510722	0.00315765
1	0.014	13	-0.000861515	1.19687e-05	0.0505711	0.00294254
1	0.014	14	-0.000857857	1.16592e-05	0.0521175	0.00302088
1	0.014	15	-0.000860498	1.11771e-05	0.0526329	0.00286173
1	0.014	16	-0.000863071	1.07704e-05	0.0525604	0.00267374
1	0.014	17	-0.000861055	1.03237e-05	0.0536803	0.00269552
1	0.014	18	-0.000857581	1.03182e-05	0.0530787	0.00261166
1	0.014	19	-0.000858894	9.8583e-06	0.0519073	0.00268494
1	0.014	20	-0.000857732	9.43363e-06	0.0524601	0.00259443
1	0.014	21	-0.000853914	9.72632e-06	0.0532531	0.00253232
1	0.014	22	-0.000853664	9.28742e-06	0.0540424	0.00252417
1	0.014	23	-0.000845137	1.21846e-05	0.0548507	0.00238341
1	0.014	24	-0.000848473	1.21249e-05	0.0550438	0.00228533
1	0.014	25	-0.000849084	1.16553e-05	0.054679	0.00221622
1	0.014	26	-0.000849363	1.12104e-05	0.0556808	0.00232377
1	0.014	27	-0.000850297	1.0834e-05	0.0557783	0.00223919
1	0.014	28	-0.000852986	1.07755e-05	0.0555961	0.00215138
1	0.014	29	-0.000854025	1.04539e-05	0.055235	0.0020978
1	0.014	30	-0.000850097	1.08184e-05	0.0552635	0.00201069
1	0.014	31	-0.000849991	1.04699e-05	0.055447	0.00195289
1	0.014	32	-0.000851854	1.03072e-05	0.0564194	0.00210902
1	0.014	33	-0.000854383	1.03005e-05	0.0555026	0.00218056
1	0.014	34	-0.000852958	1.00957e-05	0.0551774	0.00214099
1	0.014	35	-0.000854206	9.88408e-06	0.0552503	0.00207967
1	0.014	36	-0.000851161	1.00676e-05	0.0558338	0.00206221
1	0.014	37	-0.000849949	9.86824e-06	0.0554324	0.00204489
1	0.014	38	-0.000852875	1.0033e-05	0.0550642	0.00199593
1	0.014	39	-0.000856049	1.02655e-05	0.0549932	0.00193006
1	0.014	40	-0.000854951	1.00674e-05	0.0550041	0.00188062
1	0.014	41	-0.00085381	9.88634e-06	0.0550985	0.00183422
1	0.014	42	-0.000852831	9.69931e-06	0.0551468	0.00178961
1	0.014	43	-0.000850702	9.7046e-06	0.0559212	0.00186265
1	0.014	44	-0.000850747	9.48415e-06	0.0554983	0.00186156
1	0.014	45	-0.000850069	9.29764e-06	0.0562438	0.0019404
1	0.014	46	-0.000852609	9.43633e-06	0.0560201	0.00189324
1	0.014	47	-0.000852666	9.23572e-06	0.0556615	0.00188227
1	0.014	48	-0.000853373	9.07033e-06	0.0554277	0.00185277
1	0.014	49	-0.000854395	8.94257e-06	0.0551264	0.00183063
1	0.014	50	-0.000854771	8.77161e-06	0.0547223	0.00183057
1	0.014	51	-0.0008514	9.2245e-06	0.0546993	0.00178151
1	0.014	52	-0.000852301	9.09101e-06	0.0549167	0.00176014
1	0.014	53	-0.000853405	8.98623e-06	0.0549122	0.00172491
1	0.014	54	-0.000855215	9.00017e-06	0.0555048	0.00178937
1	0.014	55	-0.000856565	8.9373e-06	0.0551667	0.00177557
1	0.014	56	-0.000856226	8.78414e-06	0.0550189	0.00174988
1	0.014	57	-0.000855132	8.69784e-06	0.0552348	0.00172616
1	0.014	58	-0.000854988	8.54908e-06	0.055086	0.00170233
1	0.014	59	-0.000853751	8.49321e-06	0.0551412	0.00167143
1	0.014	60	-0.000853691	8.35187e-06	0.0550203	0.00164751
1	0.014	61	-0.000853576	8.21574e-06	0.0547005	0.00164805
1	0.014	62	-0.000854956	8.19829e-06	0.0546306	0.00161814
1	0.014	63	-0.000857367	8.41529e-06	0.0547905	0.00159603
1	0.014	64	-0.000857067	8.28916e-06	0.0549924	0.0015812
1	0.014	65	-0.000858227	8.24247e-06	0.0549784	0.00155438
1	0.014	66	-0.000857831	8.12714e-06	0.0545749	0.00157816
1	0.014	67	-0.000857979	8.0072e-06	0.0544155	0.00156118
1	0.014	68	-0.00085681	7.97436e-06	0.0543504	0.00153882
1	0.014	69	-0.000857293	7.87338e-06	0.0545471	0.00152849
1	0.014	70	-0.000857847	7.78041e-06	0.0545033	0.00150619
1	0.014	71	-0.000857167	7.70054e-06	0.0541743	0.00151908
1	0.014	72	-0.000857394	7.59694e-06	0.0540221	0.00150395
1	0.014	73	-0.000856905	7.50863e-06	0.0540533	0.00148311
1	0.014	74	-0.000856714	7.40957e-06	0.054145	0.00146525
1	0.014	75	-0.000858454	7.5121e-06	0.0541419	0.00144026
1	0.014	76	-0.0008577	7.45096e-06	0.0537974	0.00146042
1	0.014	77	-0.000857986	7.35967e-06	0.053546	0.00145887
1	0.014	78	-0.00085746	7.28403e-06	0.0534494	0.00144349
1	0.014	79	-0.00085915	7.38507e-06	0.0534328	0.00141967
1	0.014	80	-0.000859056	7.29334e-06	0.053652	0.00141628
1	0.014	81	-0.000860892	7.43073e-06	0.0539016	0.0014197
1	0.014	82	-0.000860644	7.34423e-06	0.0538681	0.00140283
1	0.014	83	-0.000859695	7.31677e-06	0.0540838	0.00139548
1	0.014	84	-0.000859392	7.23594e-06	0.0541687	0.00138058
1	0.014	85	-0.000859428	7.15089e-06	0.0539671	0.00137697
1	0.014	86	-0.000860175	7.10675e-06	0.0538279	0.0013641
1	0.014	87	-0.000859561	7.05154e-06	0.0537672	0.00134976
1	0.014	88	-0.00086	6.98502e-06	0.0536774	0.00133587
1	0.014	89	-0.000861155	7.00142e-06	0.0536977	0.00131884
1	0.014	90	-0.000861728	6.94701e-06	0.0535169	0.00131231
1	0.014	91	-0.000861409	6.87797e-06	0.0535519	0.00129797
1	0.014	92	-0.000861158	6.80781e-06	0.053579	0.00128393
1	0.014	93	-0.00086252	6.86951e-06	0.0535867	0.00126673
1	0.014	94	-0.000861496	6.87228e-06	0.0532984	0.00128539
1	0.014	95	-0.000862932	6.94835e-06	0.0532163	0.00126793
1	0.014	96	-0.000863718	6.92031e-06	0.0532679	0.00125515
1	0.014	97	-0.000862361	6.98084e-06	0.0533319	0.00123901
1	0.014	98	-0.000862262	6.91031e-06	0.0535782	0.00124686
1	0.014	99	-0.000862557	6.84682e-06	0.0537485	0.00124504
1	0.014	100	-0.00086397	6.92265e-06	0.0539265	0.00124462
1	0.016	1	-0.000909518	0	0.0609684	0
1	0.016	2	-0.000894307	1.07558e-05	0.0582416	0.00193087
1	0.016	3	-0.00092644	2.71988e-05	0.0471267	0.00760099
1	0.016	4	-0.000892398	3.58509e-05	0.0526383	0.00637531
1	0.016	5	-0.000873311	3.33772e-05	0.0599439	0.00751585
1	0.016	6	-0.000868236	2.81974e-05	0.0594568	0.00628046
1	0.016	7	-0.000875462	2.50778e-05	0.058595	0.00538171
1	0.016	8	-0.000870453	2.24377e-05	0.0590239	0.00470518
1	0.016	9	-0.000873899	2.02074e-05	0.0557271	0.00504874
1	0.016	10	-0.000889797	2.36271e-05	0.0571341	0.00467635
1	0.016	11	-0.000892245	2.16057e-05	0.0567561	0.00425456
1	0.016	12	-0.000897572	2.04513e-05	0.055171	0.00408182
1	0.016	13	-0.000907321	2.10741e-05	0.0551532	0.00370432
1	0.016	14	-0.000908927	1.963e-05	0.0543904	0.00349546
1	0.016	15	-0.000902411	1.93728e-05	0.0547349	0.00323805
1	0.016	16	-0.000899045	1.84521e-05	0.053501	0.0032552
1	0.016	17	-0.000896187	1.75865e-05	0.0535113	0.0030596
1	0.016	18	-0.000876038	2.56774e-05	0.0551636	0.00279596
1	0.016	19	-0.000875436	2.4333e-05	0.054296	0.00275811
1	0.016	20	-0.000882846	2.42183e-05	0.053047	0.00273435
1	0.016	21	-0.000882562	2.30667e-05	0.05239	0.00266811
1	0.016	22	-0.000881423	2.20463e-05	0.0519776	0.00257643
1	0.016	23	-0.000882854	2.11341e-05	0.050934	0.0026146
1	0.016	24	-0.000880523	2.03817e-05	0.0510218	0.00250357
1	0.016	25	-0.0008858	2.02381e-05	0.0513291	0.00241458
1	0.016	26	-0.000885037	1.94741e-05	0.0514968	0.00232531
1	0.016	27	-0.000884089	1.87758e-05	0.0516159	0.00224055
1	0.016	28	-0.000885301	1.81444e-05	0.0525599	0.00232565
1	0.016	29	-0.000890401	1.82214e-05	0.0516531	0.00232109
1	0.016	30	-0.000894229	1.80117e-05	0.051195	0.00225077
1	0.016	31	-0.000896535	1.75776e-05	0.0510706	0.00217311
1	0.016	32	-0.00089297	1.73859e-05	0.0518476	0.00217949
1	0.016	33	-0.00089179	1.68991e-05	0.0511576	0.00220879
1	0.016	34	-0.000887407	1.69608e-05	0.0520891	0.00224682
1	0.016	35	-0.000889338	1.65857e-05	0.0517881	0.00218931
1	0.016	36	-0.000889559	1.61265e-05	0.0515613	0.0021374
1	0.016	37	-0.000890798	1.57382e-05	0.0508492	0.00216374
1	0.016	38	-0.00089079	1.5324e-05	0.051094	0.00211817
1	0.016	39	-0.000888192	1.51498e-05	0.0513344	0.00206405
1	0.016	40	-0.000887309	1.47967e-05	0.0512294	0.00201554
1	0.016	41	-0.000885903	1.45025e-05	0.0510032	0.00197963
1	0.016	42	-0.000886124	1.41589e-05	0.0511677	0.00193842
1	0.016	43	-0.00088335	1.40986e-05	0.0510173	0.00189811
1	0.016	44	-0.000885804	1.39901e-05	0.0506812	0.00186289
1	0.016	45	-0.000886007	1.36807e-05	0.0499941	0.00192137
1	0.016	46	-0.000886744	1.34031e-05	0.0496213	0.00190517
1	0.016	47	-0.000888045	1.31809e-05	0.0493034	0.00187926
1	0.016	48	-0.000887073	1.29421e-05	0.0491871	0.0018441
1	0.016	49	-0.000886775	1.26814e-05	0.0492061	0.00180651
1	0.016	50	-0.000889283	1.26734e-05	0.0490188	0.0017652
1	0.016	51	-0.000890376	1.24719e-05	0.0492088	0.00174026
1	0.016	52	-0.000891075	1.22517e-05	0.0495196	0.00173186
1	0.016	53	-0.000891319	1.20229e-05	0.0496191	0.00170173
1	0.016	54	-0.000891457	1.18011e-05	0.0495154	0.00167256
1	0.016	55	-0.000888988	1.18419e-05	0.0498282	0.00164996
1	0.016	56	-0.000889209	1.16325e-05	0.04997	0.00162585
1	0.016	57	-0.000889624	1.14358e-05	0.0496851	0.0016158
1	0.016	58	-0.000890049	1.12465e-05	0.0496734	0.00158756
1	0.016	59	-0.000890398	1.10613e-05	0.0495534	0.00156352
1	0.016	60	-0.000891598	1.09419e-05	0.049742	0.00154835
1	0.016	61	-0.000891135	1.07723e-05	0.0498403	0.00152476
1	0.016	62	-0.000892382	1.06705e-05	0.0499747	0.00150556
1	0.016	63	-0.000890841	1.06119e-05	0.0499301	0.00148116
1	0.016	64	-0.000890835	1.04461e-05	0.0497388	0.00146823
1	0.016	65	-0.000891683	1.03197e-05	0.0495712	0.0014501
1	0.016	66	-0.000893746	1.03676e-05	0.0496632	0.00142808
1	0.016	67	-0.000895526	1.03645e-05	0.0493803	0.00141702
1	0.016	68	-0.000894113	1.03079e-05	0.0491994	0.00140815
1	0.016	69	-0.000894699	1.01751e-05	0.0489832	0.0013986
1	0.016	70	-0.000894046	1.00506e-05	0.0492978	0.00140376
1	0.016	71	-0.000891658	1.01889e-05	0.0493406	0.0013768
1	0.016	72	-0.000892652	1.00957e-05	0.0493388	0.00135616
1	0.016	73	-0.000890881	1.01114e-05	0.0495394	0.00134036
1	0.016	74	-0.000890347	9.98886e-06	0.0497907	0.00133891
1	0.016	75	-0.000889751	9.87347e-06	0.0497706	0.00132116
1	0.016	76	-0.000891449	9.88846e-06	0.0497462	0.0012992
1	0.016	77	-0.000892379	9.80374e-06	0.049461	0.00130157
1	0.016	78	-0.000891473	9.71987e-06	0.0495466	0.00128504
1	0.016	79	-0.000890849	9.61684e-06	0.049927	0.00130965
1	0.016	80	-0.000891032	9.49838e-06	0.0498165	0.00129665
1	0.016	81	-0.000891849	9.41616e-06	0.0497213	0.00128098
