density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
1	0.012	1	-0.000819545	0	0.0589947	0
1	0.012	2	-0.000789945	2.09298e-05	0.0656682	0.00362519
1	0.012	3	-0.000788835	1.39826e-05	0.0629142	0.00322741
1	0.012	4	-0.000801493	1.51709e-05	0.0595305	0.00337504
1	0.012	5	-0.000806651	1.29839e-05	0.0614446	0.0031888
1	0.012	6	-0.000813931	1.2698e-05	0.0613832	0.00260712
1	0.012	7	-0.000812397	1.09763e-05	0.0617156	0.00224715
1	0.012	8	-0.000816039	1.01905e-05	0.0612449	0.00197674
1	0.012	9	-0.000813668	9.32989e-06	0.0599321	0.00213462
1	0.012	10	-0.000813201	8.40858e-06	0.0601764	0.00193222
1	0.012	11	-0.000813259	7.64436e-06	0.0602063	0.00175678
1	0.012	12	-0.000813035	7.01063e-06	0.0600662	0.00161578
1	0.012	13	-0.000812406	6.49942e-06	0.0604375	0.0015254
1	0.012	14	-0.000810758	6.24076e-06	0.0597374	0.00156659
1	0.012	15	-0.000809572	5.93634e-06	0.0595411	0.00147432
1	0.012	16	-0.000809744	5.5678e-06	0.0588886	0.00150575
1	0.012	17	-0.000806658	6.03523e-06	0.0584011	0.00149177
1	0.012	18	-0.0008062	5.71722e-06	0.0589594	0.0014964
1	0.012	19	-0.000805991	5.42015e-06	0.058897	0.00141898
1	0.012	20	-0.000805801	5.15246e-06	0.0586388	0.00136999
1	0.012	21	-0.00080708	5.06331e-06	0.0589241	0.00133384
1	0.012	22	-0.00080812	4.93872e-06	0.059431	0.00136438
1	0.012	23	-0.000808215	4.72492e-06	0.0592117	0.00132065
1	0.012	24	-0.000808167	4.52829e-06	0.0587587	0.00133525
1	0.012	25	-0.000809931	4.67817e-06	0.0592619	0.00137314
1	0.012	26	-0.00081074	4.56761e-06	0.0594506	0.00133304
1	0.012	27	-0.000811782	4.51574e-06	0.0596289	0.00129491
1	0.012	28	-0.000810905	4.43873e-06	0.059771	0.00125153
1	0.012	29	-0.000809968	4.38358e-06	0.0593852	0.00126613
1	0.012	30	-0.00080993	4.23762e-06	0.0597152	0.00126252
1	0.012	31	-0.00080924	4.15684e-06	0.0596981	0.00122086
1	0.012	32	-0.000809187	4.02727e-06	0.0600082	0.00121802
1	0.012	33	-0.000808912	3.91461e-06	0.0599624	0.00118196
1	0.012	34	-0.000807666	3.99282e-06	0.0599094	0.00114511
1	0.012	35	-0.000805646	4.35984e-06	0.0595055	0.00118085
1	0.012	36	-0.000805707	4.23916e-06	0.0601382	0.00129469
1	0.012	37	-0.000805827	4.1263e-06	0.060107	0.00125992
1	0.012	38	-0.000806172	4.03212e-06	0.0602974	0.00124079
1	0.012	39	-0.000807241	4.06788e-06	0.0603098	0.00120577
1	0.012	40	-0.000806922	3.97871e-06	0.0602559	0.00117682
1	0.012	41	-0.000808267	4.10287e-06	0.0604291	0.00115897
1	0.012	42	-0.000808095	4.00879e-06	0.0605085	0.00113351
1	0.012	43	-0.000806804	4.11819e-06	0.0602444	0.00113735
1	0.012	44	-0.000807571	4.09545e-06	0.0602321	0.00110955
1	0.012	45	-0.000806658	4.10489e-06	0.0601607	0.00108609
1	0.012	46	-0.000807392	4.08068e-06	0.0604492	0.00109969
1	0.012	47	-0.000807858	4.02042e-06	0.0603167	0.00108148
1	0.012	48	-0.000807332	3.97096e-06	0.060003	0.00110245
1	0.012	49	-0.000807667	3.90405e-06	0.0601702	0.00109231
1	0.012	50	-0.000808162	3.85724e-06	0.0602344	0.00107207
1	0.012	51	-0.000808992	3.86988e-06	0.0603606	0.00105791
1	0.012	52	-0.0008098	3.87882e-06	0.0604819	0.001044
1	0.012	53	-0.000809691	3.80716e-06	0.0603098	0.00103754
1	0.012	54	-0.000810477	3.81677e-06	0.0605326	0.00104188
1	0.012	55	-0.000810611	3.74974e-06	0.0604038	0.00102969
1	0.012	56	-0.000810027	3.72805e-06	0.0603401	0.00101294
1	0.012	57	-0.000809527	3.69596e-06	0.0602237	0.00100188
1	0.012	58	-0.00080984	3.64542e-06	0.0602428	0.000984565
1	0.012	59	-0.000810908	3.7369e-06	0.0603119	0.000968058
1	0.012	60	-0.000810611	3.68637e-06	0.0603751	0.000953079
1	0.012	61	-0.000810531	3.62681e-06	0.0601999	0.000952292
1	0.012	62	-0.000811784	3.77861e-06	0.060317	0.000941921
1	0.012	63	-0.00081141	3.73714e-06	0.0604167	0.000930378
1	0.012	64	-0.000811193	3.68506e-06	0.0605359	0.000921931
1	0.012	65	-0.000811178	3.62839e-06	0.0603252	0.000929356
1	0.012	66	-0.000810819	3.5911e-06	0.0601502	0.000931305
1	0.012	67	-0.000810258	3.58111e-06	0.0602824	0.000922979
1	0.012	68	-0.000809256	3.66593e-06	0.0601532	0.000917721
