density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
0.01	0.02	78	-0.0011146	1.5331e-05	1.81682	0.038343
0.01	0.02	79	-0.00111321	1.52005e-05	1.82109	0.0379906
0.01	0.02	80	-0.00111363	1.50165e-05	1.82111	0.0375113
0.01	0.02	81	-0.00111635	1.50752e-05	1.82622	0.0373736
0.01	0.02	82	-0.00111677	1.4897e-05	1.81703	0.0378353
0.01	0.02	83	-0.0011172	1.47238e-05	1.81247	0.0375909
0.01	0.02	84	-0.00111648	1.4566e-05	1.80387	0.0380371
0.01	0.02	85	-0.00111611	1.43994e-05	1.79978	0.0377936
0.01	0.02	86	-0.00111686	1.42519e-05	1.79673	0.037427
0.01	0.02	87	-0.00111592	1.41193e-05	1.79779	0.0369939
0.01	0.02	88	-0.00111676	1.39838e-05	1.80239	0.0368435
0.01	0.02	89	-0.00111931	1.40568e-05	1.8039	0.0363977
0.01	0.02	90	-0.00111844	1.3927e-05	1.80174	0.0360617
0.01	0.02	91	-0.00111706	1.38431e-05	1.80043	0.0356863
0.01	0.02	92	-0.00111848	1.37658e-05	1.80376	0.0354454
0.01	0.02	93	-0.00111931	1.36428e-05	1.79821	0.0353767
0.01	0.02	94	-0.00111885	1.35054e-05	1.80076	0.0350674
0.01	0.02	95	-0.00111898	1.33639e-05	1.79807	0.0347828
0.01	0.02	96	-0.00112127	1.34205e-05	1.81419	0.03779
0.01	0.02	97	-0.00112124	1.32822e-05	1.81455	0.037402
0.01	0.02	98	-0.00112297	1.32583e-05	1.81867	0.037237
0.01	0.02	99	-0.00112306	1.31247e-05	1.81473	0.0370382
0.01	0.02	100	-0.00112246	1.30073e-05	1.8122	0.0367555
0.02	0.02	1	-0.000780354	0	1.10324	0
0.02	0.02	2	-0.000744224	2.55477e-05	0.978597	0.0883097
0.02	0.02	3	-0.000662882	6.85645e-05	0.939595	0.0635008
0.02	0.02	4	-0.000670736	5.18713e-05	0.965601	0.0520397
0.02	0.02	5	-0.00067689	4.18605e-05	0.975327	0.0424128
0.02	0.02	6	-0.000632166	5.37006e-05	0.966176	0.0351388
0.02	0.02	7	-0.000621077	4.71601e-05	0.980917	0.0315626
0.02	0.02	8	-0.000630837	4.2263e-05	0.988864	0.0284429
0.02	0.02	9	-0.000652352	4.26935e-05	0.980734	0.023848
0.02	0.02	10	-0.000671647	4.25615e-05	0.98123	0.0205512
0.02	0.02	11	-0.000660853	4.00377e-05	0.991224	0.0193502
0.02	0.02	12	-0.000620399	5.33583e-05	0.986559	0.017747
0.02	0.02	13	-0.000630687	5.02359e-05	0.976289	0.0169714
0.02	0.02	14	-0.000611837	5.00596e-05	0.970696	0.0169797
0.02	0.02	15	-0.000607691	4.68936e-05	0.978305	0.0166518
0.02	0.02	16	-0.000603992	4.41084e-05	0.988473	0.0171876
0.02	0.02	17	-0.000597153	4.20408e-05	0.983405	0.0169561
0.02	0.02	18	-0.00060542	4.051e-05	0.987073	0.0162826
0.02	0.02	19	-0.000614136	3.93044e-05	0.993159	0.0163361
0.02	0.02	20	-0.000623594	3.84602e-05	0.984575	0.0159214
0.02	0.02	21	-0.000648496	4.39575e-05	0.982084	0.0132829
0.02	0.02	22	-0.000652859	4.21754e-05	0.986019	0.0130738
0.02	0.02	23	-0.000642497	4.15951e-05	0.986605	0.0124395
0.02	0.02	24	-0.000642863	3.98636e-05	0.983661	0.0120966
0.02	0.02	25	-0.000643892	3.82824e-05	0.982913	0.0116006
0.02	0.02	26	-0.000653895	3.80944e-05	0.987612	0.0118878
0.02	0.02	27	-0.000655245	3.67074e-05	0.984864	0.0115607
0.02	0.02	28	-0.000662341	3.60757e-05	0.983011	0.0108864
0.02	0.02	29	-0.000666698	3.50939e-05	0.983806	0.0104778
0.02	0.02	30	-0.000666906	3.39247e-05	0.986201	0.0102808
0.02	0.02	31	-0.000671076	3.30857e-05	0.984157	0.00986097
0.02	0.02	32	-0.000672033	3.20656e-05	0.983279	0.0095491
0.02	0.02	33	-0.000676425	3.13932e-05	0.983911	0.00921877
0.02	0.02	34	-0.000681042	3.08075e-05	0.987876	0.00956115
0.02	0.02	35	-0.000685831	3.02972e-05	0.982323	0.0096709
0.02	0.02	36	-0.000678979	3.02205e-05	0.983282	0.00930147
0.02	0.02	37	-0.00068598	3.02037e-05	0.982403	0.0087925
0.02	0.02	38	-0.000685941	2.94089e-05	0.983947	0.00863254
0.02	0.02	39	-0.000685584	2.8657e-05	0.984646	0.00842588
0.02	0.02	40	-0.000685731	2.7941e-05	0.984572	0.00821366
0.02	0.02	41	-0.000688836	2.74315e-05	0.986714	0.00821578
0.02	0.02	42	-0.00068385	2.72279e-05	0.983622	0.00856775
0.02	0.02	43	-0.000670952	2.94917e-05	0.982136	0.00848056
0.02	0.02	44	-0.000676207	2.92858e-05	0.98293	0.00825438
0.02	0.02	45	-0.000674837	2.86671e-05	0.984821	0.00815371
0.02	0.02	46	-0.000678376	2.82615e-05	0.985878	0.00800761
0.02	0.02	47	-0.000675239	2.78339e-05	0.985967	0.00784219
0.02	0.02	48	-0.000669978	2.77467e-05	0.986542	0.0076278
0.02	0.02	49	-0.000669019	2.7197e-05	0.988553	0.00758504
0.02	0.02	50	-0.000672452	2.68688e-05	0.989295	0.00743389
0.02	0.02	51	-0.000675606	2.65264e-05	0.986538	0.00734593
0.02	0.02	52	-0.000673924	2.60696e-05	0.986909	0.0072077
0.02	0.02	53	-0.000670332	2.58239e-05	0.988603	0.00706719
0.02	0.02	54	-0.000670652	2.53477e-05	0.98878	0.00693524
0.02	0.02	55	-0.0006767	2.55983e-05	0.990006	0.00685424
0.02	0.02	56	-0.000678994	2.52438e-05	0.990907	0.00676644
0.02	0.02	57	-0.000673572	2.53766e-05	0.98988	0.00676922
0.02	0.02	58	-0.000671915	2.49931e-05	0.990665	0.00665955
0.02	0.02	59	-0.000666276	2.51977e-05	0.990384	0.00655212
0.02	0.02	60	-0.000669254	2.49531e-05	0.990909	0.00643409
0.02	0.02	61	-0.000665937	2.47635e-05	0.991584	0.00630535
0.02	0.02	62	-0.000666773	2.43782e-05	0.991389	0.00619254
0.02	0.02	63	-0.000661628	2.4528e-05	0.990996	0.00612081
0.02	0.02	64	-0.000662747	2.41703e-05	0.989461	0.00607359
0.02	0.02	65	-0.000657505	2.43602e-05	0.988701	0.00606216
0.02	0.02	66	-0.000659874	2.4106e-05	0.988191	0.005921
0.02	0.02	67	-0.000655197	2.41958e-05	0.987212	0.00595332
0.02	0.02	68	-0.000652547	2.39847e-05	0.98732	0.00586633
0.02	0.02	69	-0.000650472	2.37266e-05	0.987142	0.00579777
0.02	0.02	70	-0.000652037	2.34392e-05	0.987475	0.00571074
0.02	0.02	71	-0.000654786	2.32697e-05	0.987965	0.00562616
0.02	0.02	72	-0.000654251	2.29526e-05	0.988598	0.00556228
0.02	0.02	73	-0.000653122	2.2666e-05	0.988016	0.00552175
0.02	0.02	74	-0.000652498	2.23682e-05	0.989189	0.00549738
0.02	0.02	75	-0.0006517	2.20842e-05	0.988134	0.0054983
0.02	0.02	76	-0.00065261	2.18124e-05	0.988957	0.00546408
0.02	0.02	77	-0.000651777	2.1545e-05	0.989473	0.00540047
0.02	0.02	78	-0.000651849	2.12689e-05	0.99057	0.00538882
0.02	0.02	79	-0.000654623	2.11797e-05	0.990047	0.00525598
