density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
1	0.01	80	-0.000725384	2.35506e-05	0.0689457	0.00662349
1	0.01	81	-0.000723246	2.33567e-05	0.0684954	0.0065585
1	0.01	82	-0.000723526	2.30736e-05	0.0682004	0.00648411
1	0.01	83	-0.000721452	2.28886e-05	0.0674795	0.00644739
1	0.01	84	-0.00071989	2.26693e-05	0.0668605	0.00640123
1	0.01	85	-0.000719754	2.2403e-05	0.0674018	0.00634685
1	0.01	86	-0.000720115	2.21454e-05	0.0671535	0.0062769
1	0.01	87	-0.000720049	2.1891e-05	0.0670817	0.0062052
1	0.01	88	-0.000722603	2.17907e-05	0.067248	0.00613318
1	0.01	89	-0.000721189	2.15918e-05	0.0669261	0.00607367
1	0.01	90	-0.000723214	2.14466e-05	0.0670006	0.00600366
1	0.01	91	-0.000721326	2.12939e-05	0.0663561	0.0059734
1	0.01	92	-0.000724088	2.12408e-05	0.0669153	0.00593238
1	0.01	93	-0.000719607	2.14799e-05	0.0666103	0.00587376
1	0.01	94	-0.000719818	2.12524e-05	0.0669067	0.00581821
1	0.01	95	-0.000718502	2.10694e-05	0.0666176	0.00576502
1	0.01	96	-0.000717577	2.08703e-05	0.0661618	0.00572331
1	0.01	97	-0.000718181	2.06639e-05	0.066141	0.00566369
1	0.01	98	-0.000716636	2.05107e-05	0.0656574	0.00562752
1	0.01	99	-0.000717567	2.03246e-05	0.0658804	0.00557446
1	0.01	100	-0.000719116	2.01804e-05	0.0664896	0.00555065
1	0.01	101	-0.000717607	2.00369e-05	0.066017	0.00551674
1	0.01	102	-0.000716745	1.9859e-05	0.0655939	0.00547918
1	0.01	103	-0.000715907	1.96839e-05	0.0651815	0.00544179
1	0.01	104	-0.000715837	1.94947e-05	0.0649167	0.00539551
1	0.01	105	-0.000715886	1.93091e-05	0.0653443	0.00535977
1	0.01	106	-0.000713956	1.92232e-05	0.0647342	0.00534498
1	0.01	107	-0.000714677	1.9057e-05	0.0654051	0.00533493
1	0.01	108	-0.000714097	1.88894e-05	0.0653164	0.00528659
1	0.01	109	-0.000715431	1.87631e-05	0.0654568	0.00523874
1	0.01	110	-0.000718541	1.88486e-05	0.0657872	0.00519751
1	0.01	111	-0.000716675	1.8771e-05	0.0652008	0.00518476
1	0.01	112	-0.000716246	1.86083e-05	0.0652217	0.00513862
1	0.01	113	-0.000719386	1.87065e-05	0.0657764	0.00512037
1	0.01	114	-0.00071756	1.86313e-05	0.0652055	0.00510824
1	0.01	115	-0.000717123	1.84744e-05	0.0648954	0.00507321
1	0.01	116	-0.000717572	1.83206e-05	0.0650145	0.00503061
1	0.01	117	-0.000716152	1.8219e-05	0.06453	0.00501166
1	0.01	118	-0.000716447	1.80669e-05	0.0648798	0.00498064
1	0.01	119	-0.00071542	1.79443e-05	0.0646672	0.00494388
1	0.01	120	-0.000716144	1.78094e-05	0.0646502	0.00490192
1	0.01	121	-0.000719012	1.78917e-05	0.0649749	0.00486877
1	0.01	122	-0.000717743	1.77901e-05	0.0645914	0.00484467
1	0.01	123	-0.000717669	1.76456e-05	0.0643724	0.00480995
1	0.01	124	-0.000715744	1.7608e-05	0.0639905	0.00478723
1	0.01	125	-0.000715672	1.74673e-05	0.063774	0.00475355
1	0.01	126	-0.00071405	1.74038e-05	0.0632732	0.00474301
1	0.01	127	-0.000714264	1.7268e-05	0.0631091	0.00470797
1	0.01	128	-0.000713917	1.71366e-05	0.0628545	0.00467805
1	0.01	129	-0.000714523	1.70145e-05	0.0629623	0.00464266
1	0.01	130	-0.000715703	1.69245e-05	0.0631641	0.00461056
1	0.01	131	-0.000715348	1.6799e-05	0.0629128	0.00458219
1	0.01	132	-0.000713802	1.67427e-05	0.0624413	0.0045725
1	0.01	133	-0.000719613	1.75964e-05	0.0634548	0.0046433
1	0.01	134	-0.000719681	1.74652e-05	0.06394	0.00463197
1	0.01	135	-0.000718138	1.74039e-05	0.0634716	0.00462213
1	0.01	136	-0.000718087	1.7276e-05	0.063289	0.00459152
1	0.01	137	-0.000716861	1.71933e-05	0.0628843	0.00457644
1	0.01	138	-0.000716008	1.70898e-05	0.0627122	0.00454696
1	0.01	139	-0.000714815	1.70085e-05	0.0623175	0.00453197
1	0.01	140	-0.000713634	1.69279e-05	0.0619266	0.00451702
1	0.01	141	-0.00071275	1.6831e-05	0.0615936	0.00449764
1	0.01	142	-0.000712453	1.67151e-05	0.0613764	0.00447121
1	0.01	143	-0.00071199	1.66046e-05	0.0611804	0.00444444
1	0.01	144	-0.000710866	1.65273e-05	0.0608098	0.00442956
1	0.01	145	-0.000710839	1.64133e-05	0.0609039	0.00439994
1	0.01	146	-0.000711397	1.63104e-05	0.0615186	0.0044103
1	0.01	147	-0.0007114	1.61994e-05	0.0613646	0.00438277
1	0.01	148	-0.000711674	1.60923e-05	0.0614144	0.00435329
1	0.01	149	-0.000709715	1.6103e-05	0.0612504	0.00432699
1	0.01	150	-0.000709836	1.59961e-05	0.0613153	0.00429855
1	0.01	151	-0.00071345	1.62935e-05	0.0621853	0.00435524
1	0.01	152	-0.000712376	1.62217e-05	0.0618276	0.00434178
1	0.01	153	-0.000712768	1.61204e-05	0.0619511	0.00431495
1	0.01	154	-0.000713181	1.6021e-05	0.0622141	0.0042945
1	0.01	155	-0.000714105	1.59442e-05	0.0623276	0.00426764
1	0.01	156	-0.000714813	1.58578e-05	0.0623056	0.00423955
1	0.01	157	-0.000714267	1.57662e-05	0.0620528	0.00422025
1	0.01	158	-0.000714804	1.56755e-05	0.0620487	0.00419306
1	0.01	159	-0.000714806	1.55769e-05	0.062201	0.00416923
1	0.01	160	-0.00071327	1.55551e-05	0.0621586	0.00414287
1	0.01	161	-0.000713582	1.54616e-05	0.0621195	0.00411702
1	0.01	162	-0.000712577	1.53988e-05	0.0617858	0.00410556
1	0.01	163	-0.000711342	1.53538e-05	0.0614108	0.00409807
1	0.01	164	-0.0007106	1.52781e-05	0.0611291	0.00408305
1	0.01	165	-0.000710362	1.51873e-05	0.0612967	0.00406134
1	0.01	166	-0.000709401	1.51262e-05	0.0609759	0.00404996
1	0.01	167	-0.000708855	1.50455e-05	0.0608247	0.0040288
1	0.01	168	-0.000708434	1.49618e-05	0.0607426	0.00400585
1	0.01	169	-0.000710685	1.50417e-05	0.0613353	0.00402466
1	0.01	170	-0.000709512	1.49989e-05	0.0609783	0.00401734
1	0.01	171	-0.00071026	1.49298e-05	0.0612477	0.00400245
1	0.01	172	-0.00070933	1.4872e-05	0.060937	0.00399164
1	0.01	173	-0.000708456	1.48117e-05	0.0611186	0.0039714
1	0.01	174	-0.000707152	1.47838e-05	0.0610008	0.00395041
1	0.01	175	-0.000706571	1.47108e-05	0.0607978	0.00393331
1	0.01	176	-0.000707528	1.46582e-05	0.0610942	0.00392163
1	0.01	177	-0.000709902	1.47664e-05	0.0615684	0.00392665
1	0.01	178	-0.000708838	1.47217e-05	0.0617038	0.00390564
1	0.01	179	-0.000707948	1.46664e-05	0.0614013	0.0038959
1	0.01	180	-0.000710751	1.48503e-05	0.0622271	0.00395942
1	0.01	181	-0.000710036	1.47854e-05	0.0620429	0.00394217
1	0.01	182	-0.000712438	1.4898e-05	0.0623887	0.00393363
1	0.01	183	-0.000712892	1.48236e-05	0.0629378	0.00394818
1	0.01	184	-0.000713091	1.47443e-05	0.0628432	0.00392753
1	0.01	185	-0.000712206	1.46911e-05	0.0625445	0.00391803
1	0.01	186	-0.000713547	1.46731e-05	0.0628137	0.00390548
1	0.01	187	-0.00071415	1.46071e-05	0.0627967	0.00388402
1	0.01	188	-0.000713072	1.45692e-05	0.0624662	0.00387788
1	0.01	189	-0.000712004	1.45312e-05	0.0621392	0.00387161
1	0.01	190	-0.00071071	1.45121e-05	0.0619753	0.00385498
1	0.01	191	-0.000711173	1.44435e-05	0.0619744	0.00383442
1	0.01	192	-0.000711233	1.43684e-05	0.0618995	0.00381507
1	0.01	193	-0.000710197	1.43313e-05	0.0615822	0.00380894
1	0.01	194	-0.00070957	1.42711e-05	0.0615361	0.00378973
1	0.01	195	-0.000709406	1.41989e-05	0.0615019	0.00377052
1	0.01	196	-0.000708395	1.41624e-05	0.0611914	0.0037645
1	0.01	197	-0.000709561	1.41383e-05	0.0614731	0.00375537
1	0.01	198	-0.000709742	1.40681e-05	0.0613853	0.00373715
1	0.01	199	-0.000709632	1.39979e-05	0.0612836	0.00371975
1	0.01	200	-0.000709038	1.39405e-05	0.0610556	0.00370834
1	0.015	1	-0.00104308	0	0.022047	0
1	0.015	2	-0.000942531	7.10966e-05	0.0287331	0.000219059
1	0.015	3	-0.000846287	9.17708e-05	0.04691	0.0100963
1	0.015	4	-0.000842138	6.89218e-05	0.0363039	0.011368
1	0.015	5	-0.000871648	6.11295e-05	0.040551	0.00979994
1	0.015	6	-0.000829023	6.41023e-05	0.0475879	0.00926255
1	0.015	7	-0.000837925	5.55596e-05	0.0472145	0.0079072
1	0.015	8	-0.000830086	4.91645e-05	0.0485898	0.00698747
1	0.015	9	-0.000847023	4.65279e-05	0.051864	0.00690542
1	0.015	10	-0.000826532	4.61674e-05	0.0629294	0.0111477
1	0.015	11	-0.000800251	4.88815e-05	0.0633677	0.00999197
1	0.015	12	-0.000799361	4.48161e-05	0.0623437	0.00920894
1	0.015	13	-0.000817734	4.49774e-05	0.0620903	0.00838157
1	0.015	14	-0.00084138	4.75762e-05	0.0619291	0.00760239
1	0.015	15	-0.000837099	4.45967e-05	0.0578047	0.00805116
1	0.015	16	-0.000845211	4.25408e-05	0.0553548	0.00777981
