0.1	1.3222 7.14779e-05	18.1131 0.307261
0.2	1.54211 0.000133307	10.9152 0.166604
0.3	1.80311 0.000128063	7.85983 0.083293
0.4	2.00687 0.000126812	5.67376 0.0517066
0.5	2.16552 0.000129807	4.28442 0.0366025
0.6	2.29602 0.00013606	3.38397 0.0282462
0.7	2.40667 0.000139728	2.76536 0.0223668
0.8	2.50424 0.000145792	2.32043 0.0185936
0.9	2.59031 0.000150893	1.98551 0.0157412
1.0	2.66737 0.00015397	1.72139 0.0134014
1.1	2.73701 0.000158502	1.51146 0.0116892
1.2	2.80004 0.000161978	1.34052 0.0102794
1.3	2.85743 0.000168115	1.1967 0.00928592
1.4	2.90971 0.000169868	1.07731 0.00823463
1.5	2.95788 0.000172678	0.974662 0.00741201
1.6	3.00192 0.000174872	0.887587 0.00670274
1.7	3.04283 0.000175635	0.809741 0.00604641
1.8	3.08042 0.000181387	0.742714 0.00563341
1.9	3.11555 0.000179051	0.683703 0.0050454
2.0	3.14754 0.000184135	0.631534 0.00473714
